               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085368,             0.02375,             0.02792,             0.13732,             0.52083,             0.13684,            0.068804,            0.016626,           0.0086589,           0.0071603,            0.070536,           0.0032738,           0.0032738
                   1,            0.054141,             0.02047,             0.02338,             0.18124,             0.60786,             0.20649,             0.11151,            0.014077,           0.0048953,           0.0061703,            0.040209,           0.0062801,           0.0062801
                   2,            0.049014,            0.016717,            0.018874,             0.21617,             0.69363,             0.23033,            0.050711,            0.016958,           0.0042217,           0.0032408,           0.0095516,           0.0089564,           0.0089564
                   3,            0.046557,            0.014383,            0.011659,             0.19855,             0.71094,             0.24066,             0.13097,            0.012834,           0.0041674,           0.0021671,            0.008515,            0.008515,            0.008515
                   4,            0.041172,            0.012658,           0.0098493,             0.24297,             0.76903,             0.27788,             0.15004,            0.013302,           0.0047571,           0.0020141,            0.008515,            0.008515,            0.008515
                   5,            0.037452,            0.011405,           0.0091275,             0.28295,             0.93892,             0.31878,             0.20406,            0.010378,           0.0046793,           0.0015619,             0.00802,             0.00802,             0.00802
                   6,             0.03365,             0.01101,            0.008232,             0.26864,             0.94615,             0.30246,             0.19337,            0.010477,            0.004383,           0.0014644,            0.007525,            0.007525,            0.007525
                   7,            0.032123,            0.010814,           0.0072413,              0.2835,             0.95393,             0.32836,             0.25208,           0.0081747,           0.0044608,            0.001322,             0.00703,             0.00703,             0.00703
                   8,            0.029171,            0.010026,           0.0065187,             0.28078,             0.93255,             0.34974,             0.24077,           0.0093525,           0.0043635,           0.0017442,            0.006535,            0.006535,            0.006535
                   9,            0.028633,            0.010099,           0.0076738,             0.28085,             0.96808,             0.31082,             0.24106,           0.0070509,           0.0047219,          0.00069064,             0.00604,             0.00604,             0.00604
                  10,            0.027621,           0.0093025,           0.0073188,             0.28025,             0.97255,             0.34737,             0.27333,           0.0071167,           0.0046349,          0.00044437,            0.005545,            0.005545,            0.005545
                  11,            0.025512,           0.0097692,           0.0057333,             0.27923,             0.93506,             0.29969,             0.23227,           0.0069717,           0.0050746,          0.00091416,             0.00505,             0.00505,             0.00505
                  12,            0.024138,           0.0092927,           0.0058125,             0.28087,             0.93035,             0.29894,             0.24327,           0.0072867,           0.0048618,           0.0010539,            0.004555,            0.004555,            0.004555
                  13,             0.02414,           0.0091351,           0.0058673,             0.28295,             0.95393,             0.30409,             0.24937,           0.0064207,           0.0048799,          0.00049074,             0.00406,             0.00406,             0.00406
                  14,             0.02344,           0.0088445,           0.0049648,             0.28261,             0.96336,             0.30555,             0.25303,           0.0057124,           0.0051398,          0.00050534,            0.003565,            0.003565,            0.003565
                  15,            0.022464,           0.0086569,           0.0051615,             0.28037,             0.96336,             0.31964,             0.26258,           0.0060292,           0.0051678,          0.00045351,             0.00307,             0.00307,             0.00307
                  16,            0.020629,           0.0084633,           0.0054371,             0.28019,             0.97343,             0.30844,             0.25869,           0.0057222,           0.0054545,          0.00044698,            0.002575,            0.002575,            0.002575
                  17,            0.020018,           0.0082102,           0.0051175,             0.28194,              0.9728,             0.29571,             0.24684,           0.0055406,           0.0058061,          0.00023507,             0.00208,             0.00208,             0.00208
                  18,            0.019361,           0.0082555,           0.0047268,             0.28237,             0.96887,             0.29696,             0.24757,           0.0054807,           0.0058202,          0.00015981,            0.001585,            0.001585,            0.001585
                  19,            0.018378,           0.0080842,           0.0044393,             0.28173,             0.96808,             0.31105,             0.26505,             0.00523,           0.0057834,          0.00016137,             0.00109,             0.00109,             0.00109
